titleId,title,writers,weekday,age_rating,brief_text,interest_count,total_episodes,status,hashtags
795542,칼에 취한 밤을 걷다,JP (글) _21cqqm / 송민 (그림) _iwdfs / 유진성 (원작) 348016,131화,15세 이용가,"진소한은 본디 고아 출신이었으나, 현월검무단이 거두어 그녀들과 어린 시절을 함께 보낸다. 하지만 어느 날 그의 특수한 신체 특성을 알아본 사대악인 중 하나인 독마에게 납치당하고, 온갖 실험 끝에 결국 제자로까지 키워지게 된다. 10년 뒤, 그는 현월검무단의 흔적을 찾아보려 하지만, 검무단은 이미 고향을 지배하는 흑도들의 손에 사라져 버렸는데!","171,281",총 131화,휴재,#무협/사극 #사이다 #자극적인 #동양 #모험 #악역이주인공 #액션 #참교육
812143,집착 흑막들의 시터가 되어버렸다,오성영 (글) 367900 / 여람 (그림) 367902 / i싱나 (원작) 367904,81화 완결,12세 이용가,"소설 <샤키르의 꽃>의 엑스트라, 황제를 위한 인간 제물인 '성녀 메이아'에게 빙의 되었다.""남을 위해 죽고 싶지는 않아!"" 비록 원해서 얻은 새로운 삶은 아니지만, 또다시 비참하게 죽는 건 절대 사양이다.억울한 마음에 신전을 탈출한 것까진 좋았는데... 어쩌다 보니 흑막의 쌍둥이 동생들에게 관심을 사버렸다.설상가상으로 내 능력에 취한 흑막의 집착까지?그것도 여주인공을 갖기 위해 납치와 감금, 테러까지 저지르는 작중 최고 흑막에게!!","92,775",총 81화,완결,#로맨스 #까칠녀 #서양 #신화 #악역이주인공 #왕족/귀족 #집착남 #흑막녀
797819,우투리: THE LEGACY,도토리맛 우유 (글) 376697 / 홍기우 (그림) 357135,69화 완결,15세 이용가,"'죽'이 왕을 선언하고 벌어진 '우투리 대참사' 후 10년,세상은 격변하고 새로운 전쟁이 시작된다.우투리를 사냥하기 위한 '참사 여단'이 창설되어 대부분의 우투리가 죽거나 실종되고,몇 남지 않은 생존자 서아리는 아직 정체가 드러나지 않은마지막 '여덟번째 우투리'를 찾아 상황을 반전시키려 하는데...","25,102",총 69화,완결,#판타지 #액션판타지 #현대 #동양 #이능력 #액션 #성장물 #학원물
819054,시한부 황후의 나쁜 짓,굄 (글) rhla030 / 이준 (그림) 373399 / 정무늬 (원작) 373401,53화,15세 이용가,"정략결혼이었지만 첫사랑이었다. 황제여서가 아니라 당신이어서 사랑했다.휠체어를 탄 몸으로 스텔라는 제국과 남편을 위해 헌신했다.그러나 돌아온 것은 처절한 죽음.여신은 사지가 마비되어 죽은 스텔라를 회귀시켰다.이번 생에서도 소꿉친구를 선택하는 남편을 보며,스텔라는 충동적으로 검투 노예를 거뒀다.자신을 14살이라 믿는 기억상실남. 혹은 상처 입은 짐승.“내가 주인을 아프게 했나?”“너는 날 아프게 할 수 없다.”“어째서?”“책장이나 만년필이 주인을 아프게 할 수 없는 법이니까.”“아주 슬퍼 보여. 부모에게 버림받고 거리를 헤매는 아이처럼.”그가 내 뺨을 만졌다.나는 뻣뻣하게 굳은 채 아무 대꾸도 하지 못했다.12살 이후로 남편이 아닌 남자가 내 몸에 손을 댄 것은 처음이었다.스텔라가 그를 향해 손을 뻗었다. 우연이 운명이 되는 순간이었다.그의 정체가 발각당하기 전까진.","13,499",총 53화,휴재,#로맨스 #자극적인 #왕족/귀족 #순정남 #군림녀 #후회물 #타임슬립
821091,오빠 그건 오해야,도연 (글/그림) _xtbxz / 태소영 (원작) 349702,60화 완결,15세 이용가,"십년지기 남사친에게 고백하려던 날, 그의 형이 벗어둔 입던 팬티를 훔치고 말았다.그의 형은 내가 자기를 좋아한다고 착각하고 급기야 경찰에 신고까지 한다.오빠 그건 오해야, 내가 좋아하는 건 그쪽 동생이라고...!","73,850",총 60화,완결,#로맨스 #리얼로맨스 #혐관 #무심남 #철벽녀 #로맨틱코미디 #혐관로맨스 #재회
834532,조선 세자빈 실종 사건,서이나 (글) 356491 / 강다혜 (그림) 384680,137화 완결,전체연령가,조선의 세자빈으로 내정되어 있는 소녀 민홍. 우연히 세자 이담과 마주친 뒤그와 함께 도화서 그림 밀거래 사건을 해결하며 가까워진다.하지만 뜻하지 않은 이별을 겪게 된 두 사람.그 뒤 홍은 세자빈 간택을 거쳐 궁으로 들어가지만세자를 만나기란 쉽지 않은데―!!우리의 새로운 왕자님 이담과 발랄상큼 홍이의 아름다운 구중궁궐 로맨스를 만나보세요!,"3,943",총 137화,완결,#로맨스 #궁중로맨스 #완결로맨스
819910,홍끼의 메소포타미아 신화,홍끼 (글/그림) _b2df9d,50화 완결,12세 이용가,"""누가 인간을 만들었는가?"", ""인간은 어째서 죽는가?"", ""사랑은 어떻게 전쟁과 함께하였는가?""삶과 죽음에 대한 인간의 원초적인 궁금증에 재기발랄한상상력이 더해져 우리를 웃고 울게 하는 신화 이야기는""인류 최초의 문명에서 발견된 최초의 신화""인[메소포타미아 신화]에서부터 비롯되었다! 대자연과 천재지변에서 비롯된 신들과신들을 숭배하는 인간들의 사랑과 전쟁, 음모, 모험과 끝은우리에게 결국 한 가지의 메시지를 전한다.""인간의 삶이란 끝이 있기에 아름다운 것.""","71,749",총 50화,완결,#드라마 #역사판타지 #과거 #서양 #시대물 #신화 #마법 #역사물 #인외존재
801455,완벽한 파트너,산차 (글/그림) 325356 / 오하라 (원작) 358889,100화 완결,전체연령가,"능력 있는 매니저로 승승장구하던 설영은 7년을 키운 내 배우가 하루 아침에 배신하자, 더 이상 매니저 일을 하지 않겠다 다짐한다.하지만 그런 그녀 앞에 자신의 매니저가 되어 달라는 천재 루키 서헌이 나타나게 되는데…!서헌을 만인의 연인으로 만들기 위해 다시 한번 가슴이 뛰기 시작한 설영!그런데 이 남자, 뭔가를 더 숨기고 있는 거 같다?","71,039",총 100화,완결,#로맨스 #연예계로맨스 #설렘폭발 #현대 #햇살남 #연하남 #능력녀 #햇살캐
803649,밤마다 남편이 바뀐다,구슬 (글) 359995 / 여슬기 (그림) 340965 / 한윤설 (원작) 351772,102화 완결,전체연령가,"역사상 최악의 폭군으로 이름 난 레온하르타의 황제 리반펠의 신부로 팔려가듯 보내진 공주, 테리엘라.살아남기 위해선 반드시 퇴짜를 맞아야한다! 만반의 준비를 하고 있는 테리엘라의 침실에 밤마다 찾아오는 잘생기고 몸 좋은 이 남자?""밤마다 공주의 침실로 오겠어.""네? 대체 왜요? 왜… 왜 이러세요 폐하?밤마다 이 짓을 해야 한다고?!","211,967",총 102화,완결,#로맨스 #서양 #결혼생활 #왕족/귀족 #능력녀 #로맨틱코미디 #선결혼후연애
818146,악역을 길들인 줄 알았는데,박신 (글) 353470 / 아마 (그림) 373052 / 서예림 (원작) 373053,70화 완결,전체연령가,"피폐물 속 악역과 같은 보육원 출신이라는 이유만으로 그의 손에 죽을 운명에 처했다!아직 어린 그의 소꿉친구를 자처해 어떻게든 갱생에 성공한 줄 알았는데…“맞아, 그 살인귀가 나야. 그래도 너만은 날 싫어하지 않을 거지?""10년 만에 다시 만난 그는 어째서인지 완벽한 악역이 되어 있었다.","59,593",총 70화,완결,#로맨스 #서양 #악역이주인공 #사연남 #나쁜남자 #햇살녀 #햇살캐 #회귀
797844,폭군 남편과 이혼하겠습니다,조사라 (글/그림) 357150 / 오윤하 (원작) 357151,103화 완결,전체연령가,"로판소설 속 황후에게 빙의했다. 좋은 거 아니냐고? 문제는 이 황후가 간사한 황비에게 밀려서 황제에게 박대당하고 결국 병으로 죽는 조연이라는 것이다.하지만, 원작 황후처럼 허무하게 죽을 순 없다. 폭군 남주와 이혼하기 위해서 악녀가 되어야겠다.","115,898",총 103화,완결,#로맨스 #사이다 #서양 #악역이주인공 #왕족/귀족 #계략남 #다정남 #계략녀
807826,내게 종말은 게임이다,HOOPA (글/그림) 338025 / 최우진 (원작) 364550,81화,15세 이용가,백수나 다름없는 삶을 살던 게임 스트리머 고천수. 시청자 수는 1명.어느 날 플레이어로 지목된 그는 현실 세계의 서바이벌 게임에 내던져진다.클리어 조건은 죽지 않는 것. 24시간 라이브 생존 스트리밍이 시작된다.,"88,329",총 81화,휴재,#판타지 #게임 #생존 #크리처 #판타지 #아포칼립스 #게임판타지 #인외존재
817177,괴물 의상실,스페트 (글/그림) _fe3h2,60화,전체연령가,"패션 디자이너의 꿈을 포기하던 그날, 낯선 세계에 떨어진 윤비단은 우연한 기회로 수상한 의상실에서 일하게 된다.그곳은 바로 괴물이 인간 사이에 섞여 살아갈 수 있도록 특수한 옷만을 제작하는 괴물 맞춤 의상실 ‘루델리’.윤비단은 그곳에서 수많은 괴물들을 만나며 옷을 디자인하게 되는데..과연 꿈을 되찾고 어엿한 디자이너가 될 수 있을까? 최강자전","49,164",총 60화,휴재,#드라마 #크리처 #판타지 #2022 최강자전 #성장물 #무해한 #최강자전 #힐링
827393,용사님이 일진들을 물리쳐요,냠냠이 (글) _ubp65 / 동그림 (그림) _q18drx,23화 완결,12세 이용가,"마왕을 물리쳐 세상을 구한 용사, 똥통 일진 학교로 소환되다?!최악의 양아치 집합소 '수성 남부 고등학교'로 소환된 이세계 용사.인간에게는 힘을 쓰지 않는 용사이지만, ‘마족’ 같은 일진의 실체를 마주하고참교육을 시작하는데…!과연 용사는 일진들을 물리치고 다시 본인의 세계로 돌아갈 수 있을까?","11,463",총 23화,완결,#액션 #사이다 #판타지개그 #용사 #참교육 #개그 #차원이동 #학원물
822827,음악천재를 위하여,캐롯스튜디오 (글/그림) 376727 / 고광(高光) (원작) 376726,52화 완결,전체연령가,"가난한 집안을 부끄러워하던 강현은 주변의 연을 끊어가며 필사적으로 공부해 대성하지만 이윽고 자신의 이상이 잘못됨을 깨닫는다. 설상가상으로 암에 걸리게 된 현은 지하철 선로에 떨어진 사람을 구하려다 치이고, 교향곡의 멜로디를 들으며 과거로 회귀한다. 그렇게 전과 같은 삶을 살지 않겠다 다짐하던 현은 자신에게 엄청난 음악적 재능이 생긴 것을 깨닫는데….","68,293",총 52화,완결,#감성 #소설원작 #완결감성
831770,2024 루키 단편선,네이버웹툰 작가 (글/그림) 305532,20화 완결,전체연령가,"전설 이현세, 이두호 작가가 직접 프로듀싱한 지옥캠프 단편선!2024년 최강 루키들을 소개합니다!","23,452",총 20화,완결,#드라마 #리얼로맨스 #가벼운 #사연녀 #성장물 #무해한 #힐링 #회귀
811716,결혼 시뮬레이션,김래잇 (글) 367514 / 황주영 (그림) 367515,77화 완결,15세 이용가,"가까운 미래. 점점 떨어지는 혼인율, 감소하는 인구.결혼은 더 이상 사랑이 아닌 투자이다.""그 투자, 저희가 도와드립니다.""상대방과 결혼한 미래를 시뮬레이션으로 보여주는 ""결혼 시뮬레이션""결혼을 고민하던 커플들은 상대의 민낯을 샅샅이 보게된다.","34,908",총 77화,완결,#드라마 #고자극드라마 #자극적인 #공감 #현대 #사회고발 #옴니버스 #결혼생활
803123,연애 연기대상,김충전 (글) Chargekim / 일공팔 (그림) 359664,58화,15세 이용가,"국내 최고의 예술대학에 다니는 감독 지망생 '지은'. 인지도가 없는 지은은 연기과 수석 '재하'를 캐스팅해 작품도 성공시키고 학교에서 이름도 날리고 싶다. 반면 재하는 지은을 이용해 싫어하는 선배를 치워버리고자 연애 연기를 제안한다. 연기 천재에게 속아가며 학교생활과 연애, 모두 완성하고자 하는 지은. 과연 두마리 토끼를 잡을 수 있을까?","45,090",총 58화,휴재,#로맨스 #청춘 #공식미남 #능력남 #능력녀 #로맨틱코미디 #계약연애
813949,손 잡은 사이,반하리 (글/그림) vanhalee,66화 완결,전체연령가,"전학을 오게 된 여고생 [유영]. 그런데, 이 학교 뭔가 좀 이상하다..?옆자리에서 들리는 의문의 소리와 홀로 떠다니는 물건들..""근데 이거.. 나한테만 보이는 것 같은데… 설마 귀신인가?!!""그렇게 무서워 도망다니던 유영은 우연히 그 귀신(?)의 손을 잡게 되고,그 순간 뭔가가 서서히 모습을 드러난다. 과연 그것의 정체는?!아니 웬 잘생긴 남학생???정체는 투명인간? 그런데 나랑 손을 잡으면 모습이 보인다고?저는 투명인간처럼 학교생활을 하고 싶은데, 어떻게 안 될까요?두 남녀의 불가피한 스킨쉽이 만발하는 학원 로맨스!","58,374",총 66화,완결,#로맨스 #청춘 #햇살남 #로맨틱코미디 #성장물 #햇살캐 #다정남 #힐링
785251,시월드가 내게 집착한다,승우 (글/그림) _aioum / 한윤설 (원작) 351772,130화,15세 이용가,"사랑했던 가족들이 나를 죽였다.과거로 돌아온 나는 내 목숨과 유산을 지키기로 결심하고 라피레온 대공을 찾아갔다.그런데 이 대공가, 심상치 않다.무사히 복수를 마치고, 이혼할 수 있을까?","621,561",총 130화,휴재,#로맨스 #서양 #결혼생활 #왕족/귀족 #무심남 #집착남 #나쁜남자 #다정녀
