hashtag_id,hashtag_text
167,#최강자전
389,#까칠녀
285,
383,#연예계로맨스
391,#농사
187,#타임슬립
271,
253,#참교육
355,#공감
https://comic.naver.com/curation/list?type=FINISH_GENRE_COMIC,#완결개그
94,#학원로맨스
292,
https://comic.naver.com/curation/list?type=FINISH_GENRE_COMIC,
130,
49,#두뇌싸움
387,#예술
59,#사내연애
203,#러블리
277,#순진녀
35,
219,#햇살캐
https://comic.naver.com/curation/list?type=ADULT,#성인웹툰
67,#스포츠성장
36,
153,#2016 최강자전
236,#공포
89,#캠퍼스로맨스
122,#아포칼립스
90,#판무
https://comic.naver.com/webtoon?tab=genre&genre=HISTORICAL,#무협/사극
358,#치명적인
114,
392,#명작
69,#역하렘
281,#직진녀
https://comic.naver.com/curation/list?type=FINISH_GENRE_SENSIBILITY,#완결감성
302,
291,#재벌녀
317,#용사
198,
114,#계약연애
https://comic.naver.com/webtoon?tab=genre&genre=PURE,#로맨스
238,#흑막녀
338,#옴니버스
299,#능글남
202,#재벌
220,
90,
88,#친구>연인
186,#서바이벌
94,
55,
190,#비밀연애
281,
366,#판타지개그
255,#인생역전
293,#연하남
270,
152,#2015 최강자전
71,
318,#청춘
316,#중년
99,
196,
151,#2014 최강자전
278,#소심녀
302,#재벌남
219,
372,#액션판타지
184,
204,
47,
87,#청춘로맨스
296,
79,
130,#힐링
134,#블루스트링
288,
73,#오피스로맨스
181,
61,
https://comic.naver.com/curation/list?type=FINISH_GENRE_HISTORICAL,#완결무협/사극
61,#사이비종교
139,#격투기
373,#열혈병맛개그
266,#일상
330,#악역이주인공
231,
66,#소년왕도물
58,
203,
