titleId,title,writers,weekday,upload_day,age_rating,brief_text,interest_count,total_episodes,status,hashtags
832984,러스트,채.이.문 (글)/ 얌츄 (그림)/ 글라딘 (원작),일요웹툰,러스트,18세 이용가,축산업체에서 정형사로 일하는 하마루.<br>어느 날 직장 상사의 권유를 받아 일본으로 출장을 가지만 그곳은 야쿠자들의 범죄 조직이었다.<br>그곳에서 살아남기 위해 발버둥 치던 그는 점점 칼을 쓰는 자신의 재능을 깨우치게 되는데..<br>음지에 발을 디딘 정형사가 살아남기 위해 뒷세계의 정점에 도전한다.<br><br><br><br><br><br><br><br><br>,"11,059",총 6화,연재 중,#액션 #액션아포칼립스 #자극적인 #생존 #데스게임 #배틀 #액션 #참교육
819020,불완전 신데렐라물,꿀밤 (글)/ 조림 (그림),일요웹툰,불완전 신데렐라물,15세 이용가,"재벌집 메이드 정이온.<br>아득바득 저축하며 식모살이 탈출의 꿈만 키우던 어느 날.<br><br>얼굴만 꽃 같고 성격은 뭐 같은 소꿉친구이자 도련님 현매화에게<br>""마른 하늘의 돈벼락"" 같은 프로포즈를 받는다.<br><br>내 사주에 귀인이 여섯 마리나 있다고? 그게 다 돈복인가봐.<br>그땐 미처 몰랐지. 이 결혼이 무지막지한 불공정 계약이라는 걸.<br><br>돈미새 신데렐라의 결혼 탈출기! vs 불운한 왕자님의 신데렐라 쟁탈기!<br><br><br><br><br><br><br><br><br>","121,981",총 50화,연재 중,#로맨스 #결혼생활 #청춘 #집착남 #명랑녀 #철벽녀 #인소감성 #인생역전
829495,"아임 파인 땡큐, 앤유?",벼락 (글/그림),일요웹툰,"아임 파인 땡큐, 앤유?",15세 이용가,"어릴 적부터 진짜 불x친구였던 한겨울과 강태평. <br>남사친 여사친 사이에 '진짜 친구가 있냐'는 도발에 둘은 의기양양 대답한다. ""있다!""<br>하지만 다음날 자신만만했던 대답과 달리 난감한 상황이 닥쳐오는데... 과연 겨울이와 태평이는 친구 사이를 계속 이어 나갈 수 있을까?<br><br><br><br><br><br><br><br>","55,827",총 12화,연재 중,#로맨스 #리얼로맨스 #설렘폭발 #캠퍼스 #현대 #청춘 #가벼운
827323,남주의 정석,이온상 (글/그림),일요웹툰,남주의 정석,15세 이용가,과거로부터 도망친 해주는 뒤늦게 연영과에 들어왔다.<br>앞으로 꽃길 가득한 캠퍼스 라이프를 기대했는데...<br>그러나 더는 도망칠 수 없다.<br><br>다시 재회한 은석과 제이 사이에서 마음을 종잡을 수 없는 해주.<br>은석은 사심을 감추고 제이를 피하기 위해 연애하는 척하자고 제안한다.<br>해주는 성공적으로 자신의 무대를 연출할 수 있을까?<br><br><br><br><br><br><br><br><br>,"131,172",총 22화,연재 중,#로맨스 #리얼로맨스 #캠퍼스 #청춘 #헌신남 #성장물 #다정남 #청춘로맨스
819910,홍끼의 메소포타미아 신화,홍끼 (글/그림),일요웹툰,홍끼의 메소포타미아 신화,12세 이용가,"""누가 인간을 만들었는가?"" ""인간은 어째서 죽는가?"" <br>""사랑은 어떻게 전쟁과 함께하였는가?""<br>삶과 죽음에 대한 인간의 원초적인 궁금증에 재기발랄한<br>상상력이 더해져 우리를 웃고 울게 하는 신화 이야기는<br>""인류 최초의 문명에서 발견된 최초의 신화""인<br>[메소포타미아 신화]에서부터 비롯되었다! <br><br>대자연과 천재지변에서 비롯된 신들과<br>신들을 숭배하는 인간들의 사랑과 전쟁 음모 모험과 끝은<br>우리에게 결국 한 가지의 메시지를 전한다.<br><br>""인간의 삶이란 끝이 있기에 아름다운 것.""<br><br><br><br><br><br><br><br><br><br>","74,187",총 46화,연재 중,#드라마 #역사판타지 #과거 #서양 #시대물 #신화 #마법 #역사물 #인외존재
823214,건객,김우기 (글)/ 김주영 (그림),일요웹툰,건객,15세 이용가,No.1 킬러 김건은 의문의 사고로 무림 세계에 빠지게 되고<br>원래 있던 지구로 돌아가기 위해서는 '무림 제패'라는 임무를 완수해야 한다는 것을 알게 된다.<br> <br>총 2자루와 함께 낯선 무림이란 세계를 평정하기 위한 김건의 모험이 시작된다.<br><br><br><br><br><br><br><br><br><br>,"31,791",총 31화,연재 중,#액션 #모험 #액션 #병맛 #가벼운 #개그 #무협/사극 #판무 #동물
803649,밤마다 남편이 바뀐다,구슬 (글)/ 여슬기 (그림)/ 한윤설 (원작),일요웹툰,밤마다 남편이 바뀐다,전체연령가,"역사상 최악의 폭군으로 이름 난 레온하르타의 황제 리반펠의 신부로 팔려가듯 보내진 공주 테리엘라.<br>살아남기 위해선 반드시 퇴짜를 맞아야한다! 만반의 준비를 하고 있는 테리엘라의 침실에 밤마다 찾아오는 잘생기고 몸 좋은 이 남자?<br>""밤마다 공주의 침실로 오겠어.""<br>네? 대체 왜요? 왜… 왜 이러세요 폐하?<br>밤마다 이 짓을 해야 한다고?!<br><br><br><br><br><br><br><br>","214,031",총 102화,연재 중,#로맨스 #서양 #결혼생활 #왕족/귀족 #능력녀 #로맨틱코미디 #선결혼후연애
819719,망돌의 사생,권계림 (글/그림),일요웹툰,망돌의 사생,15세 이용가,5년차 무명 아이돌 ‘원이’에게 다가온 새 팬. 그녀의 행동은 다른 팬들과 달랐다. 집착과 광기어린 행동에도 아이돌인 원이는 웃어줄 수 밖에 없었고 그 상황을 아는 듯 그녀의 집착은 점점 더 심해져만 가는데....<br><br><br><br><br><br><br><br>,"31,524",총 42화,연재 중,#스릴러 #까칠녀 #고자극스릴러 #자극적인 #시리어스 #피카레스크 #아이돌
804157,첫날밤만 세 번째,나라나라 (글/그림)/ 갓녀 (원작),일요웹툰,첫날밤만 세 번째,15세 이용가,스스로의 인생에 허망함과 회의감을 느끼던 29세 ‘백도희’.<br>답답한 마음에 ‘일탈’을 꿈꾸던 도희는 친구인 누리 대신 나간 선자리에서 ‘준원'을 만난다.<br><br>알 수 없는 이끌림에 원나잇까지 하게 되지만 절정의 순간.<br>어릴 때부터 무작위로 발현되어 온 ‘타임 루프’가 일어난다.<br>도희는 그날을 없던 일로 만들기 위해 끝끝내 준원을 만나지 않고 ‘그날’을 넘긴다.<br><br>1년 후 자신의 팀장 자리를 차지하게 된 준원과 재회한 도희.<br>그런데 당연히 ‘그날’을 기억하지 못해야 하는 준원이 ‘그날’과 그녀를 기억한다.<br>아무리 밀어내려 해도 저돌적으로 다가오는 준원에게 도희는 속절없이 말려드는데...<br><br>각자의 이유로 감정 고슴도치가 되어버린 두 남녀 그 벽을 허물고 함께 행복해질 수 있을까?<br><br><br><br><br><br><br><br><br>,"98,493",총 93화,연재 중,#로맨스 #자극적인 #치명적인 #현대 #능력녀 #고자극로맨스 #회귀 #직진남
805405,신혼부부 생활 백서,문나영 (글/그림)/ 이범배 (원작),일요웹툰,신혼부부 생활 백서,15세 이용가,"""취향이야 바꾸면 그만이고 야구는 갈아탈게! <br>다 맞춰준다고 잠자리 취향까지 싹 다."" <br>승하 앞에 갑자기 나타난 남자 차이언! 그와의 수지타산 계약 결혼! <br>하지만 남자는 냉정했고 그 끝은 정해진 이혼이었다. <br>' ..인정한다! 한때 끌렸다는 사실을 하지만 이젠.. 그 호감조차 도려내고 싶은 마음뿐! <br>""이혼해요.. 우린 하나부터 열까지 전부 안 맞는 사람들이에요!"" <br>이혼을 다짐하자 그가 직진을 선언했다!<br><br><br><br><br><br><br><br>","74,227",총 91화,연재 중,#로맨스 #리얼로맨스 #결혼생활 #혐관 #명랑녀 #로맨틱코미디 #가벼운
